Model,Accuracy,Precision,Recall,F1 Score,Fit Time (s)
Gradient Boosting,0.8943620572167745,0.9351291991099859,0.906252703355978,0.9204057342964245,461.46347975730896
Logistic Regression,0.8767003915318249,0.9422593154441783,0.8704704475485331,0.9048941442239162,0.9865996360778808
Linear Support Vector Classifier,0.8569955995980735,0.912470803966867,0.8714741877210391,0.8914583342337821,1.3682079315185547
SGD Classifier,0.8444255800792302,0.8919491403569276,0.8754929649136199,0.8834576462068178,0.6726963520050049
Decision Tree Classifier,0.8233677511751729,0.8704800127351096,0.8669274610080656,0.868643422775081,16.628438568115236
Random Forest Classifier,0.6739100054283172,0.7299403826505838,0.8195583034373966,0.7720737105144169,28.5322199344635
